	SRR5440795.trimmed.Athaliana.bam	SRR5440804.trimmed.Athaliana.bam	SRR5440813.trimmed.Athaliana.bam	SRR5440822.trimmed.Athaliana.bam	SRR5440831.trimmed.Athaliana.bam	SRR5440840.trimmed.Athaliana.bam
AT1G02205	161	201	292	227	233	247
AT1G04093	1	1	0	2	0	0
AT1G02210	0	0	0	0	0	0
AT1G02220	1209	1418	748	581	544	1141
AT1G02230	147	193	154	127	150	166
AT1G02250	2	1	0	3	1	3
AT1G02260	469	602	440	346	315	486
AT1G02270	802	1130	829	631	651	1181
AT1G02280	513	520	524	685	668	747
AT1G02290	227	342	239	170	159	228
AT1G02300	1253	1255	763	316	153	513
AT1G02305	3934	4543	3343	1572	1222	2440
AT1G04097	301	389	305	76	85	170
AT1G02310	24	27	20	3	5	32
AT1G04103	10	8	8	2	2	19
AT1G02320	0	3	0	0	1	0
AT1G02330	544	611	485	561	590	745
AT1G02335	85	123	109	88	48	79
AT1G02340	69	39	80	18	20	36
AT1G02350	19	20	23	11	21	19
AT1G02360	732	315	279	119	130	282
AT1G02370	152	255	193	272	318	384
AT1G02380	29	35	27	28	39	38
AT1G02390	119	141	87	29	29	85
AT1G02400	546	278	220	136	183	345
AT1G02405	18	10	20	5	9	18
AT1G02410	526	570	521	299	348	474
AT1G02420	88	107	73	98	87	164
AT1G04117	122	145	85	118	119	178
AT1G02430	108	109	64	66	93	133
AT1G04123	20	17	8	8	15	18
AT1G02440	70	70	24	21	25	43
AT1G02450	201	184	126	109	122	211
AT1G02460	80	102	70	41	40	54
AT1G02470	752	1101	617	256	220	402
AT1G02475	801	965	753	386	301	475
AT1G02480	0	0	0	0	0	0
AT1G02490	1	1	0	0	0	2
AT1G02500	16974	14493	13142	9069	9004	14913
AT1G02510	1	0	0	0	0	0
AT1G02520	276	117	220	105	154	453
AT1G02530	14	6	10	7	15	12
AT1G02540	0	0	0	0	0	0
AT1G02550	0	0	0	0	0	0
AT1G02560	3175	3711	3221	2515	2423	3122
AT1G02570	1	0	0	0	0	0
AT1G02575	0	0	0	0	0	0
AT1G02580	104	81	53	38	28	136
AT1G04127	0	2	2	3	0	3
AT1G02590	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	0
AT1G02610	90	87	60	40	29	62
AT1G02620	0	1	2	0	4	6
AT1G04133	0	0	1	0	1	3
AT1G04137	0	0	0	0	0	0
AT1G02630	3	5	1	6	8	1
AT1G02640	153	131	126	173	157	194
AT1G02650	37	31	30	41	30	43
AT1G02660	373	407	288	147	114	210
AT1G02670	5	17	25	18	8	8
AT1G02680	246	306	233	221	264	309
AT1G04143	0	0	0	0	0	0
AT1G02690	214	189	160	205	267	365
AT1G02700	48	46	35	36	39	44
AT1G02705	119	158	105	88	122	157
AT1G02710	98	128	92	78	110	134
AT1G02720	126	161	130	140	154	161
AT1G02730	428	452	388	311	366	437
AT1G02740	351	394	276	342	437	773
AT1G02750	288	295	245	247	264	373
AT1G02760	0	0	0	0	0	0
AT1G02770	49	69	60	47	43	86
AT1G02780	13430	14496	12976	15000	16105	19170
AT1G02790	0	0	0	0	0	0
AT1G02800	50	72	80	66	73	63
AT1G02810	30	16	16	15	28	19
AT1G02813	1	0	0	0	0	1
AT1G02816	465	487	387	524	468	786
AT1G02820	62	56	86	353	264	499
AT1G02830	0	0	0	2	4	0
AT1G02840	2460	2717	2259	2791	2866	3675
AT1G02850	5634	6815	4288	3850	4860	6887
AT1G02860	269	225	171	202	261	358
AT1G04147	28	25	17	21	23	30
AT1G02870	347	393	370	769	814	921
AT1G04153	1	2	1	3	2	4
AT1G02880	751	944	782	995	1000	1560
AT1G02890	2950	3232	2638	1799	1950	3029
