	SRR5440795.trimmed.Athaliana.bam	SRR5440804.trimmed.Athaliana.bam	SRR5440813.trimmed.Athaliana.bam	SRR5440822.trimmed.Athaliana.bam	SRR5440831.trimmed.Athaliana.bam	SRR5440840.trimmed.Athaliana.bam
AT1G60710	1845	2005	1729	2454	2450	3411
AT1G60720	0	3	2	3	3	3
AT1G60730	5277	4111	3157	2785	3027	5179
AT1G60740	57	22	22	27	25	53
AT1G60750	105	1	12	10	14	22
AT1G60760	2	1	0	0	1	1
AT1G60770	534	771	533	861	849	1167
AT1G60780	2387	2613	2076	2031	1888	2861
AT1G08337	0	0	0	0	0	0
AT1G08343	0	0	0	0	0	0
AT1G60783	4	3	4	0	0	3
AT1G60787	3	0	1	0	1	1
AT1G60790	236	316	311	152	148	192
AT1G60800	674	820	646	433	444	482
AT1G60810	306	367	378	258	316	327
AT1G60815	0	0	0	0	0	0
AT1G08347	0	0	0	0	0	0
AT1G60820	0	0	0	0	0	0
AT1G60830	171	100	165	174	99	208
AT1G60840	1	1	0	0	1	3
AT1G60850	300	340	252	746	862	1052
AT1G60860	392	460	367	256	338	344
AT1G60870	1354	1225	1046	601	555	776
AT1G60880	2	3	1	0	0	0
AT1G60890	800	1195	823	457	459	628
AT1G60900	2058	2487	1790	1996	2035	2820
AT1G60910	0	0	0	1	0	1
AT1G08353	1	2	1	2	1	1
AT1G60913	0	0	0	0	0	0
AT1G60920	3	0	1	0	2	2
AT1G60930	131	138	116	60	58	77
AT1G60940	3072	3273	2612	1860	1687	2993
AT1G60950	6229	6342	7337	7289	6037	6925
AT1G60960	408	461	379	384	363	429
AT1G60970	16	13	9	9	9	15
AT1G60980	0	0	0	1	1	1
AT1G60983	0	0	0	0	0	0
AT1G60985	0	0	0	0	0	0
AT1G60986	0	0	0	0	0	0
AT1G60987	0	0	0	0	1	0
AT1G60990	522	498	409	335	325	486
AT1G60989	320	329	260	178	176	249
AT1G60995	780	897	757	438	447	735
AT1G61000	89	129	83	94	106	103
AT1G61010	665	888	633	738	731	1062
AT1G61020	0	0	0	0	0	0
AT1G61030	402	473	424	292	307	458
AT1G61040	899	961	827	867	809	1272
AT1G61050	129	191	153	35	39	74
AT1G61060	0	0	0	0	1	0
AT1G61065	49	57	49	50	52	49
AT1G61070	0	0	0	0	0	0
AT1G61080	33	6	19	7	7	25
AT1G61090	0	0	0	0	0	0
AT1G61093	1	1	0	0	0	1
AT1G61095	0	0	0	0	1	0
AT1G61097	0	0	0	0	0	0
AT1G61100	1968	1685	1735	2442	2527	4435
AT1G61105	0	0	0	0	0	0
AT1G61110	1	0	0	0	0	0
AT1G08357	0	0	0	0	0	0
AT1G61120	18	31	19	10	25	7
AT1G61130	1	0	1	0	4	1
AT1G61140	1788	1856	1330	1102	1286	2210
AT1G61150	1338	1355	1088	758	730	1032
AT1G61160	9	7	11	1	3	1
AT1G61165	0	0	0	0	0	0
AT1G61170	103	129	134	99	101	97
AT1G61180	1298	1872	1363	877	799	1401
AT1G61190	2376	3270	2738	1703	1366	2370
AT1G61200	0	0	0	0	0	0
AT1G61210	1003	1297	977	672	704	999
AT1G61215	130	149	98	100	125	175
AT1G61224	3	3	1	3	1	2
AT1G61226	1	0	1	0	1	1
AT1G61230	7	11	7	5	9	13
AT1G08363	0	0	0	0	0	0
AT1G61240	237	350	265	167	154	212
AT1G61250	3796	4139	3373	1893	1771	3405
AT1G61255	68	63	49	34	29	43
AT1G61260	465	513	446	194	174	337
AT1G61270	0	0	2	2	0	0
AT1G61275	4	11	9	10	5	7
AT1G61280	23	20	18	30	31	39
AT1G61290	8	3	4	12	4	10
AT1G08367	0	0	0	0	0	0
AT1G61300	782	1076	956	508	397	688
AT1G08377	0	0	0	0	0	0
AT1G61310	1371	1799	1468	947	780	1377
AT1G61320	0	0	0	1	3	3
AT1G08383	0	0	0	0	0	0
AT1G61330	0	0	0	0	2	0
AT1G61340	191	178	128	123	193	266
AT1G61350	380	495	342	383	342	480
AT1G61360	1778	984	896	364	392	1033
AT1G61370	659	499	334	230	265	484
AT1G61380	3930	3487	2067	1370	1346	3132
AT1G61390	92	64	57	45	53	135
AT1G61400	56	47	62	53	70	80
AT1G61410	9	17	13	10	12	12
AT1G61415	244	171	170	58	78	117
AT1G61420	811	673	518	202	232	398
AT1G08387	166	149	110	37	45	94
AT1G61430	377	318	243	183	204	222
AT1G61440	47	18	30	13	28	44
AT1G61450	17	18	10	8	3	12
AT1G61460	194	239	145	62	88	111
AT1G61470	30	45	27	20	23	35
AT1G61475	10	3	3	2	0	1
AT1G61480	49	36	29	24	24	59
AT1G61490	253	149	89	66	103	295
AT1G61500	150	86	105	53	62	92
AT1G61520	14567	14213	17586	8517	6697	7518
AT1G61540	0	1	0	0	0	0
AT1G61550	111	141	64	38	78	90
AT1G61560	607	232	215	156	134	379
AT1G61562	217	89	83	73	54	138
AT1G61563	0	0	0	0	0	0
AT1G61565	0	0	0	0	0	0
AT1G61566	0	0	0	0	0	0
AT1G61570	574	629	424	1281	1049	1597
AT1G61575	0	2	0	0	0	0
AT1G61580	397	391	358	1110	918	1416
AT1G61590	40	32	33	22	24	29
AT1G08393	2	3	6	7	2	4
AT1G61600	129	169	125	121	114	128
AT1G61610	51	62	47	40	33	44
AT1G61620	800	1033	774	800	770	1136
AT1G08397	0	0	0	1	0	0
AT1G08403	1	1	1	1	0	1
AT1G08413	2	1	1	2	1	1
AT1G08417	0	0	0	0	0	0
AT1G61630	1	1	1	0	0	2
AT1G61640	309	296	252	417	490	650
AT1G61660	894	976	719	805	1000	1258
AT1G61667	329	282	273	354	397	758
AT1G61670	763	884	603	490	459	711
AT1G08427	54	76	61	48	45	57
AT1G61680	50	67	31	35	42	45
AT1G61688	0	0	0	0	0	0
AT1G61690	1391	1522	1154	881	965	1500
AT1G61700	6	3	5	3	2	7
AT1G61710	8	4	5	8	9	10
AT1G61720	3	0	0	0	1	0
AT1G61730	1112	1297	1015	1777	1860	2888
AT1G61732	0	0	0	0	0	0
AT1G61740	1432	1548	1241	3122	2756	4801
AT1G61750	0	0	1	1	3	1
AT1G61760	12	18	13	11	23	24
AT1G61770	703	781	639	960	909	1224
AT1G61780	868	908	740	642	582	905
AT1G61790	1811	2020	1669	1512	1289	2151
AT1G61795	76	87	68	22	19	25
AT1G61800	12459	22234	12706	5118	5626	10033
AT1G61810	13	3	5	4	2	7
AT1G08433	0	0	0	0	0	0
AT1G08437	0	0	0	0	0	0
AT1G61820	325	227	163	48	80	173
AT1G61840	8	16	14	30	45	45
AT1G61850	818	816	667	713	727	1106
AT1G61860	17	12	16	20	29	43
AT1G61870	621	946	689	1337	1445	2036
AT1G61880	1	0	0	0	0	0
AT1G08443	6	3	3	0	1	1
AT1G61890	938	1382	936	855	974	1552
AT1G61900	490	565	506	546	515	823
AT1G61910	0	0	0	0	0	0
AT1G61920	2	1	0	2	1	3
AT1G61930	85	128	119	127	148	150
AT1G61940	0	1	0	1	0	0
AT1G61950	0	1	0	0	0	0
AT1G61960	89	117	95	97	104	136
AT1G61970	104	119	89	104	93	124
AT1G61980	220	257	181	282	296	413
AT1G61990	258	330	261	374	389	466
AT1G62000	0	1	1	1	0	2
AT1G08447	0	0	0	0	0	0
AT1G62010	73	111	80	119	131	177
AT1G08453	0	1	0	0	0	0
AT1G62020	1867	2786	2031	1838	1508	3012
AT1G62030	138	162	143	140	138	189
AT1G62035	5	0	2	4	2	3
AT1G62040	769	877	612	297	261	464
AT1G62045	65	70	49	60	45	99
AT1G62050	219	271	231	147	167	184
AT1G62060	0	0	0	0	0	0
AT1G62070	0	0	0	0	0	0
AT1G62080	0	0	0	0	0	0
AT1G08457	11	8	3	34	24	14
AT1G08463	11	8	3	32	22	14
AT1G62085	95	101	99	106	116	154
AT1G08473	0	0	0	0	0	0
AT1G62110	67	90	54	123	133	198
AT1G62120	41	56	42	49	52	57
AT1G62130	267	351	281	271	288	326
AT1G62150	71	91	79	227	225	285
AT1G62160	0	0	0	0	0	0
AT1G62170	220	122	182	640	541	668
AT1G62180	4300	2526	4089	10257	9085	12987
AT1G08477	2858	1623	2733	7557	6739	8929
AT1G62190	0	1	2	0	0	3
AT1G62200	938	1157	909	337	402	563
AT1G62210	0	0	0	0	0	0
AT1G62220	0	0	0	0	0	0
AT1G08483	0	0	0	0	0	0
AT1G62225	1	2	1	0	0	3
AT1G62250	518	599	506	249	243	324
AT1G62240	13	23	20	8	10	35
AT1G62260	85	110	104	66	62	107
AT1G62262	162	177	126	59	106	149
AT1G08487	0	0	0	0	0	0
AT1G62270	0	0	0	0	0	0
AT1G08493	0	0	0	0	0	0
AT1G62280	6	8	4	3	7	11
AT1G62290	261	288	256	151	177	320
AT1G62300	2286	1296	928	1858	1712	3485
AT1G08497	0	0	0	0	0	0
AT1G62305	235	179	158	128	158	208
AT1G08503	0	0	1	0	0	0
AT1G08507	28	20	18	20	29	17
AT1G62310	629	807	582	346	404	557
AT1G08513	74	108	65	50	67	59
AT1G62320	25	22	17	14	15	27
AT1G62330	562	669	617	336	345	378
AT1G62333	1	4	1	2	1	2
AT1G62340	0	0	0	0	0	0
AT1G62350	39	54	43	93	102	105
AT1G62355	7	15	9	20	19	30
AT1G62360	192	256	222	191	200	187
AT1G08517	0	0	1	1	0	0
AT1G62370	372	519	347	113	93	150
AT1G08523	0	0	0	0	0	0
AT1G62380	28559	31249	22050	15974	11691	22366
AT1G62390	2032	2462	1946	2556	2550	3619
AT1G62400	115	126	90	114	113	186
AT1G62410	4	3	0	0	2	0
AT1G62421	1	0	0	0	0	0
AT1G62422	482	331	256	231	255	462
AT1G62420	18	5	4	9	7	13
AT1G62430	660	840	660	250	206	425
AT1G62440	14	14	6	7	23	15
AT1G62450	0	0	0	0	0	0
AT1G62480	1331	1266	1295	1059	886	1163
AT1G62490	10	4	3	1	6	3
AT1G62500	570	722	636	673	789	763
AT1G62510	128	127	183	64	69	93
AT1G62515	113	119	164	60	62	89
AT1G62520	42	59	55	42	39	44
AT1G62530	6	4	6	5	9	6
AT1G62540	111	220	177	98	58	89
AT1G62560	673	777	925	560	374	474
AT1G62570	2198	2382	1917	493	494	786
AT1G62580	739	729	585	170	186	257
AT1G08533	59	58	54	21	19	34
AT1G62590	306	430	296	201	185	209
AT1G08537	25	32	24	27	17	23
AT1G08543	274	293	279	187	115	227
AT1G62600	816	843	770	501	408	642
AT1G62610	462	577	442	298	291	371
AT1G08547	113	124	90	81	63	75
AT1G62620	204	295	221	136	141	202
AT1G62630	686	659	523	318	230	422
AT1G62640	528	657	554	554	534	704
AT1G62660	371	406	329	1075	1100	1605
AT1G62670	101	126	93	124	114	131
AT1G62680	80	81	82	75	94	80
AT1G62690	2	2	1	1	1	1
AT1G62700	18	25	33	27	16	23
AT1G08553	0	0	0	0	0	0
AT1G62710	1172	2172	1555	792	828	1301
AT1G62720	18	25	18	24	22	38
AT1G08557	3	4	4	12	6	16
AT1G62730	141	151	144	116	137	170
AT1G62740	1887	1925	1846	2122	2066	3019
AT1G62750	2938	3667	3136	2618	2167	3033
AT1G62760	130	535	187	37	66	110
AT1G62770	178	181	139	25	15	38
AT1G62780	450	576	478	378	364	406
AT1G62790	2877	3341	2666	2943	2441	3627
AT1G08563	6	14	9	0	2	3
AT1G62800	405	336	328	219	190	324
AT1G08567	63	45	45	36	27	48
AT1G62810	1759	2199	1518	981	931	1581
AT1G08573	3	1	0	0	0	0
AT1G62820	589	647	550	330	296	474
AT1G62830	370	482	379	247	231	346
AT1G62840	256	249	214	181	154	267
AT1G08577	45	39	29	14	20	33
AT1G62850	563	596	590	442	379	591
AT1G62870	94	200	185	135	159	166
AT1G62880	227	251	212	152	168	211
AT1G62886	16	6	6	4	4	2
AT1G62895	0	0	0	0	0	0
AT1G62900	2	10	9	5	9	5
AT1G62910	193	232	174	185	210	267
AT1G62914	145	162	124	107	114	147
AT1G62915	41	52	31	25	24	38
AT1G62920	44	46	53	28	19	24
AT1G62930	229	290	192	169	178	247
AT1G62935	6	6	8	3	0	1
AT1G62940	1	2	1	0	1	0
AT1G08583	1	0	0	0	0	0
AT1G62950	74	77	68	81	68	103
AT1G62960	1113	1384	1074	731	643	854
AT1G62970	340	405	337	280	286	374
AT1G62975	46	32	40	39	25	30
AT1G62978	0	0	0	0	0	0
AT1G62980	8	3	5	9	10	1
AT1G62981	14	29	31	19	14	14
AT1G62990	206	316	260	133	153	153
AT1G63000	1807	2142	1954	1193	976	1602
AT1G63005	0	0	0	0	0	0
AT1G63010	2373	3046	2174	1584	1442	2160
AT1G63020	298	329	239	372	372	532
AT1G08587	0	0	0	0	0	0
AT1G63030	0	0	0	0	0	0
AT1G63050	196	283	204	236	205	282
AT1G63055	6	0	0	0	0	0
AT1G63057	4	0	0	0	0	1
AT1G63060	0	0	0	0	0	0
AT1G63070	28	47	40	20	24	25
AT1G63080	55	84	54	59	75	63
AT1G63090	441	664	472	1025	907	1654
AT1G63100	133	129	157	107	155	111
AT1G63105	0	0	0	0	0	0
AT1G63110	570	696	525	454	429	665
AT1G63120	455	479	397	245	219	425
AT1G63130	321	357	277	240	247	318
AT1G08597	36	55	51	33	38	48
AT1G08603	0	0	0	0	0	0
AT1G63140	5	13	17	6	12	8
AT1G63150	118	126	111	112	133	187
AT1G63160	135	161	116	173	193	206
AT1G63170	538	564	493	545	544	699
AT1G63180	84	86	48	84	76	103
AT1G63190	0	0	1	0	0	0
AT1G63200	0	0	0	0	0	0
AT1G63205	0	0	0	0	0	0
AT1G63206	1	0	0	0	0	0
AT1G63210	1	0	2	1	0	2
AT1G63220	612	683	563	542	445	700
AT1G63230	48	42	31	40	40	48
AT1G63240	222	290	274	125	172	169
AT1G63245	77	51	57	17	18	48
AT1G63250	113	187	142	298	282	417
AT1G63260	300	306	280	343	339	479
AT1G63270	146	186	154	207	265	319
AT1G63280	1	1	1	0	0	1
AT1G63290	956	915	868	752	744	995
AT1G63295	31	38	43	29	12	40
AT1G63300	161	196	168	141	148	179
AT1G63310	128	146	123	104	124	110
AT1G63320	69	58	54	37	29	50
AT1G63330	360	484	292	202	201	203
AT1G63340	282	290	207	67	83	90
AT1G63350	411	314	291	237	239	439
AT1G08607	12	4	3	3	6	5
AT1G63360	1196	1228	973	696	550	944
AT1G63370	202	285	208	139	129	219
AT1G63380	116	147	125	97	72	114
AT1G63390	91	123	100	76	43	61
AT1G63400	179	222	164	163	180	190
AT1G63410	4	5	7	2	3	0
AT1G08613	0	0	0	0	0	0
AT1G63420	345	525	437	220	251	284
AT1G63430	742	963	715	486	440	579
AT1G63440	457	483	376	265	271	440
AT1G63450	21	23	14	12	12	8
AT1G63460	788	869	659	521	533	673
AT1G63470	249	293	268	228	287	249
AT1G63480	103	135	135	143	141	139
AT1G63490	667	847	689	518	635	893
AT1G63500	1272	1365	1069	828	816	1584
AT1G63510	0	0	0	0	0	0
AT1G63520	14	24	14	10	13	23
AT1G63522	0	0	0	0	0	0
AT1G63530	500	575	418	210	261	510
AT1G63535	0	0	0	0	0	0
AT1G63540	2	1	0	1	0	1
AT1G63550	2	2	2	3	4	8
AT1G63570	0	1	3	5	4	12
AT1G63580	9	4	3	4	6	16
AT1G63590	2	0	0	0	0	0
AT1G63600	0	0	0	0	1	0
AT1G63610	388	419	398	306	249	343
AT1G63615	8	13	4	7	7	13
AT1G63630	8	15	8	11	6	13
AT1G63640	506	588	483	359	441	490
AT1G63650	66	90	89	81	83	104
AT1G63660	554	677	587	924	1001	1382
AT1G63670	731	952	737	501	531	709
AT1G63680	556	694	520	704	733	902
AT1G63690	1208	1381	1017	642	560	846
AT1G63700	1121	1403	1170	796	822	1127
AT1G63710	7	29	30	30	14	11
AT1G63720	546	621	441	203	246	461
AT1G08623	0	0	0	0	0	0
AT1G08627	0	0	0	0	0	0
AT1G63730	112	115	92	63	64	112
AT1G63740	348	392	322	234	264	437
AT1G63750	816	588	505	336	428	748
AT1G63770	3998	5418	3985	3025	2515	4640
AT1G08633	145	225	187	80	55	149
AT1G63780	357	441	310	770	744	1119
AT1G63790	0	0	0	0	0	0
AT1G63800	1896	1609	1344	303	299	407
AT1G63810	487	635	476	1049	1098	1468
AT1G63820	37	38	29	23	38	33
AT1G63830	1373	1424	1304	854	915	1466
AT1G63840	1210	1184	1099	448	400	681
AT1G08637	0	0	0	0	0	0
AT1G63850	384	468	392	300	308	417
AT1G63855	60	81	68	65	52	96
AT1G08643	27	31	16	29	22	22
AT1G63860	890	805	645	747	850	1453
AT1G63870	22	16	10	24	17	24
AT1G63880	1656	1752	1506	1757	1695	2565
AT1G63900	1157	1269	1143	657	577	1027
AT1G63910	4	31	23	21	41	17
AT1G63930	8	1	7	39	43	43
AT1G63940	1293	1218	1199	13072	12700	22513
AT1G63950	14	8	9	7	4	12
AT1G63960	0	5	6	1	2	1
AT1G63970	1143	1221	1054	758	663	929
AT1G63980	1835	2089	1745	1903	2111	2866
AT1G08647	162	191	161	182	240	259
AT1G63990	222	266	215	271	274	355
AT1G64000	16	10	12	8	4	5
AT1G64010	6	4	4	6	9	9
AT1G64020	1	2	2	3	2	7
AT1G64030	0	1	0	0	0	0
AT1G64040	1518	1471	1239	1808	1693	2850
AT1G64050	706	940	688	744	791	1209
AT1G64060	935	1017	723	341	432	772
AT1G64065	97	84	113	32	30	67
AT1G64070	12	4	6	2	0	3
AT1G64080	168	268	239	111	113	140
AT1G64090	1966	2534	1834	1918	1700	2760
AT1G64100	183	217	204	237	221	273
AT1G64105	178	208	199	230	212	270
AT1G64107	2	1	1	1	0	2
AT1G64110	48	84	51	57	103	129
AT1G64120	0	0	0	0	0	0
AT1G64130	4	2	1	2	0	1
AT1G64140	3242	4230	3268	5527	5757	7555
AT1G08653	0	0	0	0	0	0
AT1G64150	173	183	167	151	104	141
AT1G64160	22	43	12	43	68	101
AT1G64170	2671	1202	1332	234	210	696
AT1G64180	205	233	238	131	149	167
AT1G64185	31	37	26	65	53	76
AT1G64190	1280	1462	1322	6571	6312	11477
AT1G08657	542	612	493	2914	2984	4959
AT1G64195	0	0	1	2	0	0
AT1G64200	105	122	149	96	96	101
AT1G64210	3	3	1	22	22	37
AT1G64220	9	15	5	105	151	190
AT1G64230	5595	4855	4405	3038	3196	4908
AT1G64235	0	0	0	0	0	0
AT1G64253	11	7	14	9	15	16
AT1G08663	4	2	8	2	6	6
AT1G64255	0	0	0	0	0	0
AT1G64260	15	30	30	26	28	26
AT1G64280	1663	1825	1368	870	913	1359
AT1G08667	136	164	139	67	71	115
AT1G64290	0	0	0	0	0	0
AT1G64295	0	0	0	0	0	0
AT1G64300	98	103	72	83	60	116
AT1G64310	11	9	7	3	7	19
AT1G64320	16	20	19	10	13	17
AT1G64330	805	1093	811	673	602	873
AT1G64340	1	1	1	1	2	1
AT1G64350	618	703	578	572	574	783
AT1G64355	200	244	238	143	125	145
AT1G64360	240	328	276	353	378	360
AT1G64370	4493	3226	3395	3308	2854	4242
AT1G64380	38	28	35	36	24	49
AT1G08673	0	0	0	0	0	0
AT1G64385	685	816	671	624	662	783
AT1G64390	1482	1866	1994	1273	1046	1444
AT1G64400	1295	766	724	218	170	410
AT1G64405	101	123	107	90	81	107
AT1G64420	0	0	0	0	0	0
AT1G64430	942	1007	948	609	656	744
AT1G64440	436	512	434	205	237	304
AT1G64450	89	143	100	102	106	124
AT1G64455	57	91	54	75	65	77
AT1G64460	454	496	424	247	261	274
AT1G64480	2	0	3	4	1	0
AT1G08677	0	0	0	0	0	0
AT1G08683	0	0	0	0	0	0
AT1G64490	222	234	197	281	255	402
AT1G64500	549	410	527	665	430	792
AT1G64510	972	900	988	696	712	687
AT1G64520	1993	2309	1806	1828	1498	2331
AT1G64530	600	657	551	315	393	484
AT1G08697	2	4	2	0	0	1
AT1G08703	1	0	0	0	0	0
AT1G64540	6	3	6	2	5	13
AT1G64550	1780	2098	1719	2036	2001	2959
AT1G64561	70	101	55	51	48	58
AT1G08707	48	66	33	32	27	36
AT1G64563	114	155	97	72	92	108
AT1G08713	19	22	15	8	11	21
AT1G64570	895	1035	874	568	620	983
AT1G64572	130	141	125	105	118	147
AT1G64580	57	82	74	124	132	169
AT1G64583	30	38	42	19	24	26
AT1G64584	0	1	0	0	0	0
AT1G64585	0	0	0	0	0	0
AT1G64590	171	37	85	6	7	3
AT1G64600	147	206	145	270	344	380
AT1G64610	972	1103	735	474	540	891
AT1G64618	0	2	0	1	0	0
AT1G64620	142	191	144	141	193	187
AT1G08717	0	0	0	0	0	0
AT1G64625	18	25	29	15	21	16
AT1G08723	71	87	74	61	72	115
AT1G64630	385	428	390	417	470	573
AT1G64633	13	24	20	7	15	24
AT1G64640	223	260	295	391	317	463
AT1G64650	1478	1953	1519	1384	1214	1861
AT1G64660	1137	2077	1463	890	749	1133
AT1G64670	399	497	512	502	483	599
AT1G64680	320	224	306	303	280	239
AT1G64690	46	64	46	48	36	34
AT1G64700	94	114	73	75	92	89
AT1G64710	2973	3405	3334	1857	1450	2565
AT1G64720	4288	3040	3889	3122	3314	3429
AT1G64740	826	894	857	1431	1332	2306
AT1G08727	259	247	224	486	442	710
AT1G64750	1597	1726	1401	1301	1254	1774
AT1G64760	111	130	108	107	138	173
AT1G64770	413	519	516	389	323	350
AT1G64780	355	203	292	507	397	613
AT1G64790	3061	3791	2987	3089	3693	5327
AT1G64795	4	7	2	4	4	6
AT1G64800	0	0	0	0	0	0
AT1G64810	1102	1465	1042	532	485	601
AT1G64820	7	7	4	3	7	4
AT1G64830	0	1	0	0	0	0
AT1G64840	287	348	294	334	316	450
AT1G64850	1008	1060	796	491	422	614
AT1G64860	1015	1151	1061	715	587	659
AT1G64870	0	0	0	0	0	0
AT1G64880	882	1145	1015	1437	1636	1898
AT1G64890	119	177	146	80	58	132
AT1G64900	2522	3630	3226	2429	2425	3472
AT1G64910	5	6	1	3	9	9
AT1G64920	6	8	1	3	14	5
AT1G64930	45	56	39	95	46	72
AT1G64940	227	176	198	391	239	381
AT1G64950	3013	3061	2697	3418	2728	4408
AT1G64960	358	405	293	248	279	329
AT1G64970	749	1241	988	674	505	690
AT1G08733	71	119	94	66	41	78
AT1G64980	604	794	741	420	356	584
AT1G64990	598	619	476	480	438	737
AT1G65000	182	181	168	84	92	141
AT1G65010	1747	2302	1885	1425	1275	1939
AT1G65020	469	596	418	395	363	559
AT1G65030	224	269	226	781	886	1155
AT1G65032	91	96	83	76	72	103
AT1G65040	1123	1298	893	713	599	863
AT1G65050	0	0	0	0	0	0
AT1G65060	294	738	462	332	294	405
AT1G65070	433	443	401	348	406	430
AT1G65080	115	140	94	107	114	142
AT1G65090	2	1	1	2	2	4
AT1G65110	15	9	9	10	11	14
AT1G65113	0	0	0	0	0	0
AT1G65120	27	31	31	20	33	27
AT1G08737	0	0	0	0	3	0
AT1G65130	6	5	10	12	5	8
AT1G65140	0	1	0	0	2	0
AT1G65150	80	84	73	86	98	115
AT1G65160	0	0	0	0	0	0
AT1G65165	0	1	0	0	0	0
AT1G65170	0	0	0	0	0	0
AT1G65180	34	48	36	31	28	42
AT1G65190	536	605	560	454	389	511
AT1G65200	2	1	2	1	2	1
AT1G08743	0	1	1	0	0	0
AT1G65210	0	0	0	0	0	0
AT1G65220	1969	1966	1620	1783	1708	2321
AT1G65230	269	196	288	116	112	89
AT1G08747	125	88	134	60	51	41
AT1G65240	44	17	14	18	20	19
AT1G65250	208	243	221	113	112	165
AT1G65260	1848	2136	1831	1138	1113	1435
AT1G65270	1185	1491	1227	1022	943	1440
AT1G65280	969	1126	940	844	795	1239
AT1G65290	2346	2478	2028	2507	2501	3197
AT1G65295	323	400	394	424	339	557
AT1G65300	0	0	0	0	0	3
AT1G65310	59	34	75	32	32	57
AT1G65320	496	488	420	322	295	533
AT1G65330	0	0	0	1	0	2
AT1G65340	0	0	1	0	0	0
AT1G65342	0	0	0	0	0	0
AT1G65350	4	4	0	9	6	4
AT1G65346	16	20	16	22	18	41
AT1G65349	0	0	0	0	0	0
AT1G65352	0	0	0	0	0	0
AT1G65360	4	7	2	4	1	4
AT1G65370	497	671	486	743	882	780
AT1G65380	199	272	187	162	175	215
AT1G65390	630	368	307	187	186	268
AT1G65410	624	725	595	442	412	541
AT1G65420	66	75	69	39	45	47
AT1G08753	47	63	59	31	35	38
AT1G65425	0	0	0	0	0	0
AT1G65430	873	996	782	593	584	848
AT1G65440	4512	5822	4106	4318	3996	6654
AT1G65450	18	44	38	29	8	22
AT1G65470	139	214	168	199	172	254
AT1G65480	11	5	7	6	5	5
AT1G08757	108	93	77	100	110	177
AT1G65481	568	316	186	135	214	529
AT1G65483	182	239	208	56	39	120
AT1G08763	31	10	24	0	0	4
AT1G65484	100	59	61	18	13	48
AT1G65486	734	357	303	199	206	352
AT1G65490	416	351	312	267	261	462
AT1G65500	2379	1585	1135	685	656	1439
AT1G65510	280	151	122	77	92	168
AT1G65520	386	379	274	282	250	405
AT1G65540	1919	2225	1832	1466	1389	1941
AT1G65541	106	98	111	35	30	76
AT1G65550	1	0	1	1	1	0
AT1G65560	98	138	118	73	79	97
AT1G65570	0	0	0	0	0	0
AT1G08767	0	0	1	0	0	0
AT1G65580	1807	2043	1563	1025	925	1479
AT1G65590	357	255	291	165	172	238
AT1G65610	965	561	451	497	433	1392
AT1G65620	96	116	91	110	128	131
AT1G65630	0	1	0	1	0	1
AT1G65640	0	0	0	0	0	0
AT1G65650	609	722	647	603	642	914
AT1G65660	936	1118	955	773	738	1020
AT1G65670	0	0	1	0	0	0
AT1G65680	0	0	0	0	0	0
AT1G65681	0	0	0	0	0	0
AT1G65690	1579	900	604	355	306	836
AT1G65700	206	204	195	236	241	326
AT1G65710	45	38	55	38	34	29
AT1G65720	4384	4750	3629	2806	2432	4569
AT1G65730	798	1026	474	53	46	129
AT1G65735	0	0	0	0	0	0
AT1G08773	0	0	0	0	0	0
AT1G65740	0	0	0	0	0	0
AT1G65760	0	0	0	0	0	0
AT1G65770	0	0	0	0	0	0
AT1G65780	0	1	1	0	1	1
AT1G65790	815	1319	1013	549	399	654
AT1G08777	0	0	4	0	0	0
AT1G65800	1564	2298	1647	1221	734	1407
AT1G65810	5	6	5	4	5	12
AT1G65820	3536	3765	2897	2215	1901	3326
AT1G65830	0	0	0	0	0	0
AT1G65840	1351	1266	1074	1410	1593	2271
AT1G65845	1946	676	583	335	333	750
AT1G65850	15	10	10	6	7	4
AT1G65860	198	105	152	158	87	200
AT1G65870	7	4	6	18	3	28
AT1G65880	0	0	1	1	0	2
AT1G65890	3	6	8	5	6	1
AT1G65900	51	79	70	201	214	214
AT1G65910	25	38	28	30	36	35
AT1G65920	358	476	344	258	302	315
AT1G65930	6688	6505	5505	10911	9471	15365
AT1G08783	0	0	0	0	0	0
AT1G08787	0	0	0	0	0	0
AT1G65950	243	300	204	169	200	220
AT1G65960	9405	10248	9793	5650	4755	7294
AT1G08793	8	9	11	5	2	8
AT1G08797	944	1082	1175	570	404	702
AT1G65970	967	374	403	248	206	671
AT1G08803	274	78	91	65	52	199
AT1G65980	5207	5580	4704	3885	3883	4900
AT1G65985	295	244	225	239	258	372
AT1G65990	0	0	0	0	0	0
AT1G66000	0	0	1	0	0	0
AT1G08807	0	0	0	0	0	0
AT1G66020	26	35	27	21	28	28
AT1G66030	0	1	0	1	1	0
AT1G66040	28	33	19	24	10	22
AT1G66045	0	0	0	0	0	0
AT1G66050	48	48	36	37	17	40
AT1G66060	0	0	0	0	0	0
AT1G66070	494	481	415	927	945	1380
AT1G66080	149	175	179	177	173	199
AT1G66090	684	352	307	504	397	935
AT1G08813	0	0	0	0	0	0
AT1G66100	82	11	48	3	23	3
AT1G66110	0	0	0	0	0	0
AT1G66120	0	0	0	0	0	1
AT1G66130	337	325	326	274	215	267
AT1G66140	208	170	207	764	922	1163
AT1G66145	0	0	0	0	0	0
